Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,Team Abbreviation
Sani Becirovic,Denver Nuggets,Virtus Pallacanestro Bologna (Italy),2003,2,17,46,DEN
Mo Williams,Utah Jazz,Alabama,2003,2,18,47,UTA
James Lang,New Orleans Hornets,Central Park Christian,2003,2,19,48,NOP
James Jones,Indiana Pacers,Miami (FL),2003,2,20,49,IND
Paccelis Morlende,Philadelphia 76Ers,JDA Dijon Basket (France),2003,2,21,50,PHI
Kyle Korver,New Jersey Nets,Creighton,2003,2,22,51,NJN
Remon Van de Hare,Toronto Raptors,FC Barcelona Basquet (Spain),2003,2,23,52,TOR
Tommy Smith,Chicago Bulls,Arizona State,2003,2,24,53,CHI
Nedzad Sinanovic,Portland Trail Blazers,HKK Brotnjo (Bosnia and Herzegovina),2003,2,25,54,POR
Rick Rickert,Minnesota Timberwolves,Minnesota,2003,2,26,55,MIN
Brandon Hunter,Boston Celtics,Ohio,2003,2,27,56,BOS
Xue Yuyang,Dallas Mavericks,Hong Kong Flying Dragons (China),2003,2,28,57,DAL
Andreas Glyniadakis,Detroit Pistons,A.E.K. Athens B.C. (Greece),2003,2,29,58,DET
Yao Ming,Houston Rockets,Shanghai Sharks (China),2002,1,1,1,HOU
Jay Williams,Chicago Bulls,Duke,2002,1,2,2,CHI
Mike Dunleavy,Golden State Warriors,Duke,2002,1,3,3,GSW
Drew Gooden,Memphis Grizzlies,Kansas,2002,1,4,4,MEM
Nikoloz Tskitishvili,Denver Nuggets,Universo Treviso Basket (Italy),2002,1,5,5,DEN
Dajuan Wagner,Cleveland Cavaliers,Memphis,2002,1,6,6,CLE
Nene,New York Knicks,CR Vasco da Gama (Brazil),2002,1,7,7,NYK
Chris Wilcox,Los Angeles Clippers,Maryland,2002,1,8,8,LAC
Amar'e Stoudemire,Phoenix Suns,Cypress Creek,2002,1,9,9,PHX
Caron Butler,Miami Heat,Connecticut,2002,1,10,10,MIA
Jared Jeffries,Washington Wizards,Indiana,2002,1,11,11,WAS
Melvin Ely,Los Angeles Clippers,Fresno State,2002,1,12,12,LAC
Marcus Haislip,Milwaukee Bucks,Tennessee,2002,1,13,13,MIL
Fred Jones,Indiana Pacers,Oregon,2002,1,14,14,IND
Bostjan Nachbar,Houston Rockets,Universo Treviso Basket (Italy),2002,1,15,15,HOU
Jiri Welsch,Philadelphia 76Ers,KK Olimpija (Slovenia),2002,1,16,16,PHI
Juan Dixon,Washington Wizards,Maryland,2002,1,17,17,WAS
Curtis Borchardt,Orlando Magic,Stanford,2002,1,18,18,ORL
Ryan Humphrey,Utah Jazz,Notre Dame,2002,1,19,19,UTA
Kareem Rush,Toronto Raptors,Missouri,2002,1,20,20,TOR
Qyntel Woods,Portland Trail Blazers,Northeast Mississippi Community College,2002,1,21,21,POR
Casey Jacobsen,Phoenix Suns,Stanford,2002,1,22,22,PHX
Tayshaun Prince,Detroit Pistons,Kentucky,2002,1,23,23,DET
Nenad Krstic,New Jersey Nets,KK Partizan (Serbia),2002,1,24,24,NJN
Frank Williams,Denver Nuggets,Illinois,2002,1,25,25,DEN
John Salmons,San Antonio Spurs,Miami (FL),2002,1,26,26,SAS
Chris Jefferies,Los Angeles Lakers,Fresno State,2002,1,27,27,LAL
Dan Dickau,Sacramento Kings,Gonzaga,2002,1,28,28,SAC
Steve Logan,Golden State Warriors,Cincinnati,2002,2,1,29,GSW
Roger Mason Jr.,Chicago Bulls,Virginia,2002,2,2,30,CHI
Robert Archibald,Memphis Grizzlies,Illinois,2002,2,3,31,MEM
Vincent Yarbrough,Denver Nuggets,Tennessee,2002,2,4,32,DEN
Dan Gadzuric,Milwaukee Bucks,California-Los Angeles,2002,2,5,33,MIL
Carlos Boozer,Cleveland Cavaliers,Duke,2002,2,6,34,CLE
Milos Vujanic,New York Knicks,KK Partizan (Serbia),2002,2,7,35,NYK
David Andersen,Atlanta Hawks,Virtus Pallacanestro Bologna (Italy),2002,2,8,36,ATL
Tito Maddox,Houston Rockets,Fresno State,2002,2,9,37,HOU
Rod Grizzard,Washington Wizards,Alabama,2002,2,10,38,WAS
Juan Carlos Navarro,Washington Wizards,FC Barcelona Basquet (Spain),2002,2,11,39,WAS
Mario Kasun,Los Angeles Clippers,Skyliners Frankfurt (Germany),2002,2,12,40,LAC
Flip Murray,Milwaukee Bucks,Shaw,2002,2,13,41,MIL
Jason Jennings,Portland Trail Blazers,Arkansas State,2002,2,14,42,POR
Lonny Baxter,Chicago Bulls,Maryland,2002,2,15,43,CHI
Sam Clancy,Philadelphia 76Ers,Southern California,2002,2,16,44,PHI
Matt Barnes,Memphis Grizzlies,California-Los Angeles,2002,2,17,45,MEM
Jamal Sampson,Utah Jazz,California,2002,2,18,46,UTA
Chris Owens,Milwaukee Bucks,Texas,2002,2,19,47,MIL
Peter Fehse,Seattle Supersonics,SV Halle (Germany),2002,2,20,48,SSS
Darius Songaila,Boston Celtics,Wake Forest,2002,2,21,49,BOS
Federico Kammerichs,Portland Trail Blazers,Club Ourense Baloncesto (Spain),2002,2,22,50,POR
Marcus Taylor,Minnesota Timberwolves,Michigan State,2002,2,23,51,MIN
Rasual Butler,Miami Heat,La Salle,2002,2,24,52,MIA
Tamar Slay,New Jersey Nets,Marshall,2002,2,25,53,NJN
Mladen Sekularac,Dallas Mavericks,KK FMP (Serbia),2002,2,26,54,DAL
Luis Scola,San Antonio Spurs,Saski Baskonia (Spain),2002,2,27,55,SAS
Randy Holcomb,San Antonio Spurs,San Diego State,2002,2,28,56,SAS
Corsley Edwards,Sacramento Kings,Central Connecticut State,2002,2,29,57,SAC
Kwame Brown,Washington Wizards,Glynn Academy,2001,1,1,1,WAS
Tyson Chandler,Los Angeles Clippers,Dominguez,2001,1,2,2,LAC
Pau Gasol,Atlanta Hawks,FC Barcelona Basquet (Spain),2001,1,3,3,ATL
Eddy Curry,Chicago Bulls,Thornwood,2001,1,4,4,CHI
Jason Richardson,Golden State Warriors,Michigan State,2001,1,5,5,GSW
Shane Battier,Memphis Grizzlies,Duke,2001,1,6,6,MEM
Eddie Griffin,New Jersey Nets,Seton Hall,2001,1,7,7,NJN
DeSagana Diop,Cleveland Cavaliers,Oak Hill Academy,2001,1,8,8,CLE
Rodney White,Detroit Pistons,North Carolina-Charlotte,2001,1,9,9,DET
Joe Johnson,Boston Celtics,Arkansas,2001,1,10,10,BOS
Kedrick Brown,Boston Celtics,Northwest Florida State,2001,1,11,11,BOS
Vladimir Radmanovic,Seattle Supersonics,KK FMP (Serbia),2001,1,12,12,SSS
Richard Jefferson,Houston Rockets,Arizona,2001,1,13,13,HOU
Troy Murphy,Golden State Warriors,Notre Dame,2001,1,14,14,GSW
Steven Hunter,Orlando Magic,DePaul,2001,1,15,15,ORL
Kirk Haston,Charlotte Hornets,Indiana,2001,1,16,16,CHA
Michael Bradley,Toronto Raptors,Villanova,2001,1,17,17,TOR
Jason Collins,Houston Rockets,Stanford,2001,1,18,18,HOU
Zach Randolph,Portland Trail Blazers,Michigan State,2001,1,19,19,POR
Brendan Haywood,Cleveland Cavaliers,North Carolina,2001,1,20,20,CLE
Joseph Forte,Boston Celtics,North Carolina,2001,1,21,21,BOS
Jeryl Sasser,Orlando Magic,Southern Methodist,2001,1,22,22,ORL
Brandon Armstrong,Houston Rockets,Pepperdine,2001,1,23,23,HOU
Raul Lopez,Utah Jazz,Real Madrid Baloncesto (Spain),2001,1,24,24,UTA
Gerald Wallace,Sacramento Kings,Alabama,2001,1,25,25,SAC
Samuel Dalembert,Philadelphia 76Ers,Seton Hall,2001,1,26,26,PHI
Jamaal Tinsley,Memphis Grizzlies,Iowa State,2001,1,27,27,MEM
Tony Parker,San Antonio Spurs,Paris Basket Racing (France),2001,1,28,28,SAS
Trenton Hassell,Chicago Bulls,Austin Peay,2001,2,1,29,CHI
Gilbert Arenas,Golden State Warriors,Arizona,2001,2,2,30,GSW
Omar Cook,Orlando Magic,St. John's (NY),2001,2,3,31,ORL
Will Solomon,Memphis Grizzlies,Clemson,2001,2,4,32,MEM
Terence Morris,Atlanta Hawks,Maryland,2001,2,5,33,ATL
Brian Scalabrine,New Jersey Nets,Southern California,2001,2,6,34,NJN
Jeff Trepagnier,Cleveland Cavaliers,Southern California,2001,2,7,35,CLE
Damone Brown,Philadelphia 76Ers,Syracuse,2001,2,8,36,PHI
Mehmet Okur,Detroit Pistons,Anadolu Efes S.K. (Turkey),2001,2,9,37,DET
Michael Wright,New York Knicks,Arizona,2001,2,10,38,NYK
Earl Watson,Seattle Supersonics,California-Los Angeles,2001,2,11,39,SSS
Jamison Brewer,Indiana Pacers,Auburn,2001,2,12,40,IND
Bobby Simmons,Seattle Supersonics,DePaul,2001,2,13,41,SSS
Eric Chenowith,New York Knicks,Kansas,2001,2,14,42,NYK
Kyle Hill,Dallas Mavericks,Eastern Illinois,2001,2,15,43,DAL
Sean Lampley,Chicago Bulls,California,2001,2,16,44,CHI
Loren Woods,Minnesota Timberwolves,Arizona,2001,2,17,45,MIN
Ousmane Cisse,Denver Nuggets,St. Jude Educational Institute,2001,2,18,46,DEN
Antonis Fotsis,Memphis Grizzlies,Panathinaikos B.C. (Greece),2001,2,19,47,MEM
Ken Johnson,Miami Heat,Ohio State,2001,2,20,48,MIA
Ruben Boumtje-Boumtje,Portland Trail Blazers,Georgetown,2001,2,21,49,POR
Alton Ford,Phoenix Suns,Houston,2001,2,22,50,PHX
Andre Hutson,Milwaukee Bucks,Michigan State,2001,2,23,51,MIL
Jarron Collins,Utah Jazz,Stanford,2001,2,24,52,UTA
Kenny Satterfield,Dallas Mavericks,Cincinnati,2001,2,25,53,DAL
Maurice Jeffers,Sacramento Kings,Saint Louis,2001,2,26,54,SAC
Robertas Javtokas,San Antonio Spurs,BC Lietuvos rytas (Lithuania),2001,2,27,55,SAS
Alvin Jones,Philadelphia 76Ers,Georgia Tech,2001,2,28,56,PHI
Bryan Bracey,San Antonio Spurs,Oregon,2001,2,29,57,SAS
Kenyon Martin,New Jersey Nets,Cincinnati,2000,1,1,1,NJN
Stromile Swift,Vancouver Grizzlies,Louisiana State,2000,1,2,2,VAN
Darius Miles,Los Angeles Clippers,East St. Louis,2000,1,3,3,LAC
Marcus Fizer,Chicago Bulls,Iowa State,2000,1,4,4,CHI
Mike Miller,Orlando Magic,Florida,2000,1,5,5,ORL
DerMarr Johnson,Atlanta Hawks,Cincinnati,2000,1,6,6,ATL
Chris Mihm,Chicago Bulls,Texas,2000,1,7,7,CHI
Jamal Crawford,Cleveland Cavaliers,Michigan,2000,1,8,8,CLE
Joel Przybilla,Houston Rockets,Minnesota,2000,1,9,9,HOU
Keyon Dooling,Orlando Magic,Missouri,2000,1,10,10,ORL
Jerome Moiso,Boston Celtics,California-Los Angeles,2000,1,11,11,BOS
Etan Thomas,Dallas Mavericks,Syracuse,2000,1,12,12,DAL
Courtney Alexander,Orlando Magic,Fresno State,2000,1,13,13,ORL
Mateen Cleaves,Detroit Pistons,Michigan State,2000,1,14,14,DET
Jason Collier,Milwaukee Bucks,Georgia Tech,2000,1,15,15,MIL
Hedo Turkoglu,Sacramento Kings,Anadolu Efes S.K. (Turkey),2000,1,16,16,SAC
Desmond Mason,Seattle Supersonics,Oklahoma State,2000,1,17,17,SSS
Quentin Richardson,Los Angeles Clippers,DePaul,2000,1,18,18,LAC
Jamaal Magloire,Charlotte Hornets,Kentucky,2000,1,19,19,CHA
Speedy Claxton,Philadelphia 76Ers,Hofstra,2000,1,20,20,PHI
Morris Peterson,Toronto Raptors,Michigan State,2000,1,21,21,TOR
Donnell Harvey,New York Knicks,Florida,2000,1,22,22,NYK
DeShawn Stevenson,Utah Jazz,Washington Union,2000,1,23,23,UTA
Dalibor Bagaric,Chicago Bulls,KK Dubrava (Croatia),2000,1,24,24,CHI
Jake Tsakalidis,Phoenix Suns,A.E.K. Athens B.C. (Greece),2000,1,25,25,PHX
Mamadou N'diaye,Denver Nuggets,Auburn,2000,1,26,26,DEN
Primoz Brezec,Indiana Pacers,KK Olimpija (Slovenia),2000,1,27,27,IND
Erick Barkley,Portland Trail Blazers,St. John's (NY),2000,1,28,28,POR
Mark Madsen,Los Angeles Lakers,Stanford,2000,1,29,29,LAL
Marko Jaric,Los Angeles Clippers,Fortitudo Pallacanestro Bologna (Italy),2000,2,1,30,LAC
Dan Langhi,Dallas Mavericks,Vanderbilt,2000,2,2,31,DAL
A.J. Guyton,Chicago Bulls,Indiana,2000,2,3,32,CHI
Jake Voskuhl,Chicago Bulls,Connecticut,2000,2,4,33,CHI
Khalid El-Amin,Chicago Bulls,Connecticut,2000,2,5,34,CHI
Mike Smith,Washington Wizards,Louisiana-Monroe,2000,2,6,35,WAS
Soumaila Samake,New Jersey Nets,Cincinnati Stuff (IBL),2000,2,7,36,NJN
Eddie House,Miami Heat,Arizona State,2000,2,8,37,MIA
Eduardo Najera,Houston Rockets,Oklahoma,2000,2,9,38,HOU
Lavor Postell,New York Knicks,St. John's (NY),2000,2,10,39,NYK
Hanno Mottola,Atlanta Hawks,Utah,2000,2,11,40,ATL
Chris Carrawell,San Antonio Spurs,Duke,2000,2,12,41,SAS
Olumide Oyedeji,Seattle Supersonics,DJK Wurzburg (Germany),2000,2,13,42,SSS
Michael Redd,Milwaukee Bucks,Ohio State,2000,2,14,43,MIL
Brian Cardinal,Detroit Pistons,Purdue,2000,2,15,44,DET
Jabari Smith,Sacramento Kings,Louisiana State,2000,2,16,45,SAC
DeeAndre Hulett,Toronto Raptors,Las Vegas Silver Bandits (IBL),2000,2,17,46,TOR
Josip Sesar,Seattle Supersonics,KK Cibona (Croatia),2000,2,18,47,SSS
Mark Karcher,Philadelphia 76Ers,Temple,2000,2,19,48,PHI
Jason Hart,Milwaukee Bucks,Syracuse,2000,2,20,49,MIL
Kaniel Dickens,Utah Jazz,Idaho,2000,2,21,50,UTA
Igor Rakocevic,Minnesota Timberwolves,Red Star Belgrade (Serbia),2000,2,22,51,MIN
Ernest Brown,Miami Heat,Indian Hills Community College,2000,2,23,52,MIA
Dan McClintock,Denver Nuggets,Northern Arizona,2000,2,24,53,DEN
Cory Hightower,San Antonio Spurs,Indian Hills Community College,2000,2,25,54,SAS
Chris Porter,Golden State Warriors,Auburn,2000,2,26,55,GSW
Jaquay Walls,Indiana Pacers,Colorado,2000,2,27,56,IND
Scoonie Penn,Atlanta Hawks,Ohio State,2000,2,28,57,ATL
Pete Mickeal,Dallas Mavericks,Cincinnati,2000,2,29,58,DAL
